Timestamp,Conductivity (),Salinity (ppt),Specific Conductance (uS/cm),Dissolved Oxygen (mg/L),Temperature (C),Comment,Site,Folder,Unit ID
6/13/24 12:37,0,5.7,10103,4.92,23.6,,TMPSW,,SW
6/13/24 12:52,0,5.7,10104,4.99,23.7,,TMPSW,,SW
6/13/24 13:07,0,5.7,10100,4.87,23.8,,TMPSW,,SW
6/13/24 13:22,0,5.69,10096,4.72,23.9,,TMPSW,,SW
6/13/24 13:37,0,5.69,10094,4.82,23.9,,TMPSW,,SW
6/13/24 13:52,0,5.7,10110,4.84,24.1,,TMPSW,,SW
6/13/24 14:07,0,5.7,10113,4.88,24.2,,TMPSW,,SW
6/13/24 14:22,0,5.71,10133,4.74,24.3,,TMPSW,,SW
6/13/24 14:37,0,5.72,10140,4.85,24.5,,TMPSW,,SW
6/13/24 14:52,0,5.73,10161,4.67,24.6,,TMPSW,,SW
6/13/24 15:07,0,5.73,10168,4.81,24.8,,TMPSW,,SW
6/13/24 15:22,0,5.58,9930,4.89,24.9,,TMPSW,,SW
6/13/24 15:37,0,5.73,10174,4.68,24.9,,TMPSW,,SW
6/13/24 15:52,0,5.73,10172,4.69,24.9,,TMPSW,,SW
6/13/24 16:07,0,5.73,10173,4.65,24.9,,TMPSW,,SW
6/13/24 16:22,0,5.73,10173,4.58,24.9,,TMPSW,,SW
6/13/24 16:37,0,5.72,10152,4.46,24.8,,TMPSW,,SW
6/13/24 16:52,0,5.7,10117,4.32,24.5,,TMPSW,,SW
6/13/24 17:07,0,5.67,10067,4.41,24.3,,TMPSW,,SW
6/13/24 17:22,0,5.65,10036,4.33,24.2,,TMPSW,,SW
6/13/24 17:31,0,5.65,10032,3.95,24.1,,TMPSW,,SW
6/13/24 17:46,0,5.64,10006,3.33,23.9,,TMPSW,,SW
6/13/24 18:01,0,5.64,10005,3.03,23.9,,TMPSW,,SW
6/13/24 18:16,0,5.65,10024,2.97,23.9,,TMPSW,,SW
6/13/24 18:31,0,5.65,10020,3.11,23.8,,TMPSW,,SW
6/13/24 18:46,0,5.65,10018,2.94,23.7,,TMPSW,,SW
6/13/24 19:01,0,5.65,10018,2.76,23.7,,TMPSW,,SW
6/13/24 19:16,0,5.65,10021,2.75,23.6,,TMPSW,,SW
6/13/24 19:31,0,5.65,10024,2.64,23.6,,TMPSW,,SW
6/13/24 19:46,0,5.65,10021,2.65,23.5,,TMPSW,,SW
6/13/24 20:01,0,5.65,10022,2.63,23.4,,TMPSW,,SW
6/13/24 20:16,0,5.65,10023,2.59,23.4,,TMPSW,,SW
6/13/24 20:31,0,5.65,10023,2.59,23.3,,TMPSW,,SW
6/13/24 20:46,0,5.65,10023,2.66,23.3,,TMPSW,,SW
6/13/24 21:01,0,5.65,10026,2.4,23.2,,TMPSW,,SW
6/13/24 21:16,0,5.65,10026,2.44,23.2,,TMPSW,,SW
6/13/24 21:31,0,5.65,10027,2.31,23.1,,TMPSW,,SW
6/13/24 21:46,0,5.66,10029,2.06,23.1,,TMPSW,,SW
6/13/24 22:01,0,5.66,10032,2.3,23,,TMPSW,,SW
6/13/24 22:16,0,5.66,10033,2.05,23,,TMPSW,,SW
6/13/24 22:31,0,5.66,10034,1.92,22.9,,TMPSW,,SW
6/13/24 22:46,0,5.66,10034,1.89,22.9,,TMPSW,,SW
6/13/24 23:01,0,5.66,10035,1.93,22.8,,TMPSW,,SW
6/13/24 23:16,0,5.66,10034,2.11,22.8,,TMPSW,,SW
6/13/24 23:31,0,5.66,10034,2.08,22.8,,TMPSW,,SW
6/13/24 23:46,0,5.66,10036,2,22.7,,TMPSW,,SW
6/14/24 0:01,0,5.66,10037,1.91,22.7,,TMPSW,,SW
6/14/24 0:16,0,5.66,10039,1.8,22.6,,TMPSW,,SW
6/14/24 0:31,0,5.67,10039,1.67,22.6,,TMPSW,,SW
6/14/24 0:46,0,5.67,10043,1.88,22.5,,TMPSW,,SW
6/14/24 1:01,0,5.67,10045,2.01,22.5,,TMPSW,,SW
6/14/24 1:16,0,5.67,10044,1.9,22.4,,TMPSW,,SW
6/14/24 1:31,0,5.67,10045,1.97,22.4,,TMPSW,,SW
6/14/24 1:46,0,5.67,10049,1.99,22.3,,TMPSW,,SW
6/14/24 2:01,0,5.67,10051,1.92,22.3,,TMPSW,,SW
6/14/24 2:16,0,5.67,10052,1.89,22.2,,TMPSW,,SW
6/14/24 2:31,0,5.68,10055,1.8,22.2,,TMPSW,,SW
6/14/24 2:46,0,5.68,10055,1.84,22.2,,TMPSW,,SW
6/14/24 3:01,0,5.68,10055,1.92,22.1,,TMPSW,,SW
6/14/24 3:16,0,5.68,10057,1.8,22.1,,TMPSW,,SW
6/14/24 3:31,0,5.68,10059,1.83,22,,TMPSW,,SW
6/14/24 3:46,0,5.68,10058,1.8,22,,TMPSW,,SW
6/14/24 4:01,0,5.68,10061,1.79,22,,TMPSW,,SW
6/14/24 4:16,0,5.68,10061,1.69,22,,TMPSW,,SW
6/14/24 4:31,0,5.68,10065,1.77,21.9,,TMPSW,,SW
6/14/24 4:46,0,5.69,10068,1.77,21.9,,TMPSW,,SW
6/14/24 5:01,0,5.69,10068,1.69,21.9,,TMPSW,,SW
6/14/24 5:16,0,5.69,10069,1.8,21.8,,TMPSW,,SW
6/14/24 5:31,0,5.69,10071,1.82,21.8,,TMPSW,,SW
6/14/24 5:46,0,5.69,10072,1.71,21.7,,TMPSW,,SW
6/14/24 6:01,0,5.69,10073,1.66,21.7,,TMPSW,,SW
6/14/24 6:16,0,5.69,10074,1.65,21.7,,TMPSW,,SW
6/14/24 6:31,0,5.69,10075,1.66,21.6,,TMPSW,,SW
6/14/24 6:46,0,5.69,10078,1.69,21.6,,TMPSW,,SW
6/14/24 7:01,0,5.69,10078,1.65,21.6,,TMPSW,,SW
6/14/24 7:16,0,5.7,10080,1.66,21.5,,TMPSW,,SW
6/14/24 7:31,0,5.7,10082,1.56,21.5,,TMPSW,,SW
6/14/24 7:46,0,5.7,10081,1.48,21.5,,TMPSW,,SW
6/14/24 8:01,0,5.7,10084,1.43,21.5,,TMPSW,,SW
6/14/24 8:16,0,5.7,10084,1.49,21.6,,TMPSW,,SW
6/14/24 8:31,0,5.7,10084,1.67,21.6,,TMPSW,,SW
6/14/24 8:46,0,5.7,10089,1.55,21.6,,TMPSW,,SW
6/14/24 9:01,0,5.7,10092,1.49,21.7,,TMPSW,,SW
6/14/24 9:16,0,5.71,10099,1.35,21.7,,TMPSW,,SW
6/14/24 9:31,0,5.71,10105,1.51,21.8,,TMPSW,,SW
6/14/24 9:46,0,5.71,10111,1.6,21.8,,TMPSW,,SW
6/14/24 10:01,0,5.72,10121,1.55,21.9,,TMPSW,,SW
6/14/24 10:16,0,5.73,10150,1.48,22.2,,TMPSW,,SW
6/14/24 10:31,0,5.74,10164,1.62,22.4,,TMPSW,,SW
6/14/24 10:46,0,5.74,10162,1.42,22.5,,TMPSW,,SW
6/14/24 11:01,0,5.74,10163,1.31,22.7,,TMPSW,,SW
6/14/24 11:16,0,5.74,10164,1.48,22.8,,TMPSW,,SW
6/14/24 11:31,0,5.74,10170,1.17,22.9,,TMPSW,,SW
